AP-BEC,2018-08-14 13:30:56,52.4387,-1.9156,BSSID,e4:18:6b:64:ed:84,Zyxel Communications Corporation,ITALK-087874
AP-BEC,2018-08-14 13:30:58,52.4387,-1.9156,BSSID,84:9c:a6:35:e6:af,Arcadyan Technology Corporation,EE-BrightBox-a4tnt2
AP-BEC,2018-08-14 13:30:58,52.4387,-1.9156,BSSID,da:d7:75:ac:20:aa,Unknown Vendor,BTWifi-X
PR-REQ,2018-08-14 13:30:58,52.4387,-1.9156,Client,00:7e:56:79:ac:e5,China Dragon Technology Limited,Broadcast
AP-RES,2018-08-14 13:30:58,52.4387,-1.9156,Client,00:7e:56:79:ac:e5,China Dragon Technology Limited,Hidden SSID
AP-BEC,2018-08-14 13:30:58,52.4387,-1.9156,BSSID,d8:d7:75:ac:1e:a8,Sagemcom Broadband Sas,BTHub6-9CF3
AP-BEC,2018-08-14 13:30:58,52.4387,-1.9156,BSSID,da:d7:75:ac:20:a9,Unknown Vendor,BTWifi-with-FON
PR-REQ,2018-08-14 13:31:00,52.4387,-1.9157,Client,00:7e:56:79:ac:e5,China Dragon Technology Limited,Broadcast
AP-RES,2018-08-14 13:31:00,52.4387,-1.9157,Client,00:7e:56:79:ac:e5,China Dragon Technology Limited,Hidden SSID
PR-REQ,2018-08-14 13:31:00,52.4387,-1.9157,Client,0a:48:15:89:2c:73,Unknown Vendor,Broadcast
AP-RES,2018-08-14 13:31:00,52.4387,-1.9157,Client,0a:48:15:89:2c:73,Unknown Vendor,Hidden SSID
AP-BEC,2018-08-14 13:31:05,52.4388,-1.9158,BSSID,52:0d:10:52:e7:e9,Unknown Vendor,Virgin Media
AP-BEC,2018-08-14 13:31:06,52.4388,-1.9158,BSSID,40:0d:10:52:e7:e9,Arris Group Inc.,VM2008442
AP-BEC,2018-08-14 13:31:06,52.4388,-1.9158,BSSID,84:1b:5e:a7:f1:de,Netgear,virginmedia4098658
PR-REQ,2018-08-14 13:31:06,52.4388,-1.9158,Client,5c:aa:fd:0f:8f:51,Sonos Inc.,Sonos_6xjI4UAl4ELxghilJxAj1LQYx2
AP-RES,2018-08-14 13:31:06,52.4388,-1.9158,Client,5c:aa:fd:0f:8f:51,Sonos Inc.,Sonos_6xjI4UAl4ELxghilJxAj1LQYx2
AP-BEC,2018-08-14 13:31:06,52.4388,-1.9158,BSSID,40:0d:10:02:b9:81,Arris Group Inc.,VM5190234
AP-BEC,2018-08-14 13:31:07,52.4388,-1.9158,BSSID,c0:05:c2:25:c4:a9,Arris Group Inc.,VM8495271
PR-REQ,2018-08-14 13:31:07,52.4388,-1.9158,Client,64:16:66:3e:ac:a3,Nest Labs Inc.,AaKSB
AP-RES,2018-08-14 13:31:07,52.4388,-1.9158,Client,64:16:66:3e:ac:a3,Nest Labs Inc.,AaKSB
PR-REQ,2018-08-14 13:31:07,52.4388,-1.9158,Client,64:16:66:3e:ac:a3,Nest Labs Inc.,Broadcast
AP-RES,2018-08-14 13:31:07,52.4388,-1.9158,Client,64:16:66:3e:ac:a3,Nest Labs Inc.,Hidden SSID
PR-REQ,2018-08-14 13:31:07,52.4388,-1.9158,Client,64:16:66:3e:ac:a3,Nest Labs Inc.,AaKSB
AP-RES,2018-08-14 13:31:07,52.4388,-1.9158,Client,64:16:66:3e:ac:a3,Nest Labs Inc.,AaKSB
PR-REQ,2018-08-14 13:31:07,52.4388,-1.9158,Client,64:16:66:3e:ac:a3,Nest Labs Inc.,Broadcast
AP-RES,2018-08-14 13:31:07,52.4388,-1.9158,Client,64:16:66:3e:ac:a3,Nest Labs Inc.,Hidden SSID
AP-BEC,2018-08-14 13:31:07,52.4388,-1.9158,BSSID,d2:05:c2:74:bd:61,Unknown Vendor,Virgin Media
AP-BEC,2018-08-14 13:31:07,52.4388,-1.9158,BSSID,c0:05:c2:74:bd:61,Arris Group Inc.,VM1196087
AP-BEC,2018-08-14 13:31:07,52.4388,-1.9158,BSSID,40:0d:10:73:60:a9,Arris Group Inc.,VM3048623
